City,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Local Cheese (1kg),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),"Chicken Breasts (Boneless, Skinless), (1kg)",Monthly Pass (Regular Price),Gasoline (1 liter),Volkswagen Golf,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),Cappuccino (regular),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car),"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child"
"Saint Petersburg, Russia",7.34,29.35,4.4,2.2,2.2,0.76,0.53,0.98,0.71,1.18,7.6,0.63,5.87,0.88,1.89,2.2,0.59,3.96,42.56,0.67,19289.39,524.45,344.27,1012.53,615.19,102.17,0.03,6.96,26.27,18.33,5.14,71.86,38.25,74.88,100.72,2476.05,1507.7,645.94,10.29,1.47,0.26,4.4,1.29,1.25,0.56,0.86,1.96,0.92,1.91,0.89,0.48,7.18,19305.29,411.83,5388.86
"Istanbul, Turkey",4.58,15.28,3.82,3.06,3.06,0.64,0.24,0.71,0.36,1.62,5.32,0.33,7.64,1.79,2.48,2.75,0.41,3.5,31.32,1.05,24443.15,291.55,177.72,545.5,314.98,59.33,0.11,14.2,25.1,15.66,3.82,36.15,25.91,61.31,50.58,1315.18,657.05,436,19.08,0.76,0.47,3.59,0.85,0.86,0.59,0.61,1.84,1.3,0.8,1.91,0.62,9.73,20874.72,282.94,6905.43
"Izmir, Turkey",3.06,12.22,3.06,2.29,2.75,0.61,0.22,0.65,0.38,1.51,4.97,0.29,6.11,1.63,2.09,2.29,0.46,3.05,22.92,1.04,24443.15,212.22,128.36,353.76,225.34,51.07,0.09,12.89,20.64,11.67,3.06,33.2,22.48,52.74,42.2,856.54,508.14,392.07,22.23,0.61,0.57,3.51,0.77,0.73,0.52,0.57,1.56,1.31,0.7,1.78,0.58,8.61,20898.83,212.18,4948.41
"Helsinki, Finland",12,65,8,6.5,6.75,2.66,1.89,0.96,2.27,2.02,6.87,1.54,12,2.23,2.95,7.7,2.8,9.42,59.7,1.54,22000,986.93,758.13,1819.32,1271.16,82.66,0.07,22.31,34.54,24.72,14,83.41,31.41,82.49,120.97,7444.54,4099.36,2382.56,1.38,6,1,47.04,2.1,1.75,0.91,2.3,3.87,2.13,2.91,1.61,1.25,12.34,24402.77,351.6,1641
"Chisinau, Moldova",4.67,20.74,4.15,1.04,1.43,0.64,0.44,0.68,0.33,1.11,5.79,0.59,3.61,0.77,1.38,1.56,0.1,3.55,9.33,0.98,16335.12,244.49,177.96,428.67,330.84,113.46,0.07,8.58,26.64,12.1,5.19,56.54,35.37,86.25,94.38,904.82,589.13,286.95,9.42,1.3,0.18,3.11,0.7,1.22,0.56,0.84,1.25,0.93,1.56,1.37,0.59,5.37,17238.13,210.52,2679.3
"Milan, Italy",15,60,8,5,5,2.49,1.12,1.21,1.94,2.87,13.54,0.4,7,1.2,2.01,5.5,2,8.83,39,1.59,22400,1099.67,731.69,2311.84,1428.3,163.97,0.18,28.93,66.62,22.96,10,86.65,32.8,86.32,135.8,8221.95,3719.51,1601,1.95,5,1.12,28.32,2.13,2.05,1.28,1.27,1.46,2.25,2.45,1.99,1.27,17.75,23233.33,617.27,10761.9
"Cairo, Egypt",3.38,17.48,4.51,1.69,2.82,0.29,0.18,0.84,0.51,1.04,3.16,0.29,10.72,1.4,2.06,2.26,0.28,4.18,11.28,0.45,25098.6,188,109.76,352.74,229.29,25.79,0.01,14.77,26.19,7.07,4.51,42.38,44.32,114.98,56.92,695.67,407.03,221.7,13.42,0.39,0.17,1.13,1.31,0.39,0.47,0.28,1.65,0.65,0.35,0.66,0.34,8.06,21020.29,121.15,2781.29
"Banja Luka, Bosnia And Herzegovina",3.58,22.99,3.58,1.02,1.53,1.18,0.74,0.69,0.63,1.47,4.76,0.48,4.34,0.5,0.86,2.81,0.92,3.97,22.48,1.17,16859.68,219.72,159.73,398.18,259.32,141.04,0.1,21.34,20.7,9.38,2.55,63.44,26.64,73.77,74.25,1328.34,1008.17,430.69,4.46,1.02,0.77,7.66,0.86,1.18,0.55,0.55,0.85,1.05,0.94,1.06,0.64,7.43,16529.98,128.7,1348.77
"Baku, Azerbaijan",5.27,23.73,4.22,0.84,2.11,0.37,0.21,0.83,0.26,1.03,3.54,0.43,4.75,0.76,1.94,2.11,0.16,2.92,9.63,0.49,15558.4,290.07,157.97,608.91,299.45,42.65,0.03,15.51,30.43,16.73,3.69,43.59,40.16,93.36,76.12,1307.4,647.53,294.03,8.21,0.84,0.32,1.58,0.69,1.26,0.46,0.42,2.15,1.05,0.83,1.22,0.39,6.15,18564.59,208.84,5657.01
"Guadalajara, Mexico",5.25,23.86,4.25,1.43,2.39,0.66,0.51,0.87,1.35,1.25,4.09,0.73,7.16,0.82,1.48,2.48,0.43,4.65,18.67,1,16535.22,309.42,186.98,634.96,388.33,22.64,0.06,27.53,24.59,9.71,3.58,40.8,29.7,68.04,57.71,1016.15,922.24,498.68,11.24,1.43,0.46,7.16,1.96,1.02,1,0.73,1.99,1.04,0.98,0.94,1.03,6.88,15579.09,145.75,2826.61
"Kathmandu, Nepal",1.99,11.92,5.56,2.38,3.18,0.45,0.2,0.67,0.43,1.29,7.48,0.28,6.75,1.78,2.5,1.99,0.16,3.69,7.15,0.87,29976.83,155.63,100.89,295.43,186.01,24.92,0.02,16.66,24.02,8.5,3.06,24.3,27.81,49.71,38.55,1228.74,596.05,184.17,11.06,1.99,0.6,2.78,1.69,0.95,0.32,0.28,1.54,0.79,0.5,0.9,0.41,4.39,46216.93,55.92,1154.07
"Hanoi, Vietnam",1.94,15.52,3.88,0.78,1.55,0.45,0.28,1.32,0.71,1.31,14.41,0.59,7.76,0.65,1.18,1.11,0.27,3.36,7.76,0.79,38808.39,318.43,192.28,608.96,426.13,67.49,0.06,9.41,24.06,6.68,3.69,30.9,28.7,73.25,67.54,1791.94,936.95,354.62,8.39,0.39,0.43,1.16,2.71,1.63,0.92,0.58,1.57,0.79,0.94,0.85,0.91,7.92,33491.64,166.55,8021.9
"Ho Chi Minh City, Vietnam",1.94,17.5,3.87,0.78,1.36,0.43,0.26,1.21,0.66,1.26,11.35,0.47,9.72,0.73,1.13,0.97,0.23,2.45,5.83,0.8,38894.22,421.19,284.19,971.4,588.11,51.25,0.08,10.42,21.48,6.82,3.5,37.62,29.14,81.51,66.79,2317.13,1102.68,347.14,9.15,0.47,0.54,1.17,2.37,1.18,0.93,0.72,1.72,0.71,0.77,0.77,0.92,9.69,30780.17,109.65,7237.44
"Mexico City, Mexico",4.77,23.86,4.77,1.91,2.86,0.61,0.47,0.91,1.44,1.36,4.93,0.66,7.16,1.08,2.15,2.48,0.29,4.41,14.32,0.98,16702.48,550.18,342.38,1139.78,734.62,30.09,0.06,26.34,49.56,16.17,3.82,41.62,32.29,73.85,72.78,2188.9,1438.46,596.3,11.28,0.62,0.29,4.94,1.93,0.82,1.07,0.76,2,0.95,1.05,0.95,1.13,6.9,14844.85,211.05,4721.73
"Rome, Italy",15,55,8,5,4,1.87,0.99,1.28,1.54,2.96,12.33,0.38,6,1.02,1.57,5.5,1.5,8.32,35,1.57,20700,987.37,679.27,1870,1176.32,171.15,0.18,29.64,57.77,16.81,8.5,80.36,31.39,79.79,116.65,6421.74,2926.09,1466.06,2.12,4,1.41,27,1.88,1.84,1.33,1,1.28,2.02,2.04,1.77,1.29,14.54,23535.29,523.86,11972.73
"Monterrey, Mexico",5.75,23.94,4.31,1.68,2.39,0.69,0.54,0.91,1.51,1.6,5.2,0.79,9.58,0.94,1.41,2.49,0.57,4.72,17.96,0.97,16424.2,342.55,207.9,757.86,461.34,49.81,0.05,25.84,34.28,10.37,3.59,40.51,28.55,66.7,61.59,1021.06,632.67,695.46,10.25,0.67,0.38,7.18,2.14,1.01,1.21,0.79,2.28,0.87,1.23,0.88,1.44,6.01,14421.34,198.98,4080.55
"Yekaterinburg, Russia",5.88,29.42,4.12,1.47,2.94,0.77,0.53,0.75,0.43,0.92,6.29,0.46,6.99,0.86,1.33,1.91,0.41,3.87,29.42,0.65,19857.48,332.66,232.83,549.9,394.59,113.13,0.02,7.61,35.51,16.31,3.68,62.56,38.29,74.23,91.27,1412.29,955.57,537.99,10.56,1.47,0.21,3.53,1.29,1.21,0.43,0.52,1.65,0.83,1.31,0.97,0.41,6.79,18832.1,199.74,3166.47
"Sarajevo, Bosnia And Herzegovina",3.57,20.42,4.08,1.79,1.79,1.36,0.68,0.7,0.52,1.49,5.58,0.51,4.59,0.62,1,2.81,0.92,3.85,27.06,1.19,17868.62,254.49,170.61,510.21,307.2,140.53,0.12,22.77,26.5,10.58,3.57,53.86,29.39,71.16,86.28,1690.41,994.5,486.12,4.6,0.97,0.61,5.11,0.94,1.22,0.57,0.51,1.28,1.05,1.13,1.13,0.63,7.66,17681.12,164.67,3431.24
"Kharkiv, Ukraine",4.5,18.76,3.75,0.88,1.29,0.38,0.29,0.85,0.41,1,6.47,0.4,3.75,0.66,1.18,1.43,0.3,3.48,11.42,1.09,22507.19,346.56,217.86,615.91,392.63,117.46,0.03,5.57,18.58,8.27,3.75,64.99,42.65,90.65,105.76,961.38,525.36,337.4,19.1,1.5,0.26,3.38,0.56,1.08,0.38,0.68,1.03,0.97,0.95,0.98,0.39,4.84,21067.14,176.48,2033.83
"Kiev, Ukraine",5.63,22.51,3.75,1.13,1.8,0.58,0.45,0.93,0.58,1.13,7.07,0.49,3.75,0.75,1.32,1.65,0.3,3.92,12.19,1.12,21608.29,589.81,340.8,988.82,560.35,98.74,0.04,5.11,20.92,11.48,4.31,64.03,40.73,98.26,110.43,1652.8,802.55,516.75,19.52,1.69,0.26,3,0.59,1.11,0.5,0.85,1.17,1.04,1.57,1.06,0.55,5.65,20758.91,254.74,7483.6
"Calgary, Canada",13.75,42.97,6.87,4.81,5.5,1.63,1.51,1.35,1.83,2.19,9.53,1.59,10.31,2.53,2.75,11,2.34,9.17,72.87,0.72,17186.61,833.74,661.22,1352.81,1045.82,132.57,0.19,54.67,40.58,16.06,9.62,42.31,30.61,66.55,84.89,3412.99,2123.54,2956.33,3.48,2.61,1.15,19.8,2.8,2.76,1.5,1.63,3.14,2,2.42,1.21,1.58,10.19,15976.18,780.68,10418.14
"Tunis, Tunisia",1.92,12.78,3.19,1.6,1.6,0.5,0.28,0.39,0.1,0.82,6.52,0.22,4.79,0.74,0.9,2.08,0.16,3.39,9.58,0.63,21863.24,173.76,121.37,331.41,244.12,30.66,0.06,17.03,22.1,6.44,3.19,39.79,37.3,71.6,45.83,714.1,504.39,285.79,9.23,0.16,0.32,4.79,1.42,0.6,0.5,0.28,0.67,0.56,0.53,1.54,0.49,8.04,21400.1,72.31,1644.93
"Edmonton, Canada",13.75,48.12,6.53,4.12,4.12,1.48,1.2,1.57,1.82,2.2,7.4,1.24,10.31,1.54,2.37,9.62,2.41,8.45,66.68,0.71,16499.14,841.34,680.79,1340.62,1052.03,154.54,0.23,52.56,38.6,13.33,9.62,45.49,33.79,64.09,83.04,2283.92,1715.29,2552.22,3.62,2.58,1.13,20.62,2.68,2.54,2.14,1.72,2.95,2.53,3.09,1.11,1.53,9.78,16049.12,588.27,6840.27
"Amsterdam, Netherlands",15,65,8,5,4,2.35,1.96,1.02,1.43,2.64,11.93,0.83,5.99,1.26,2.07,7,3.2,8.79,97,1.66,25505,1584.45,1195.63,2683.74,1884,169.18,0.18,40.47,36.67,25.64,12,84.49,37.62,93.85,133.43,7733.98,4988.62,2646.66,2.33,5,2.35,40.33,2.27,1.77,1.54,1.03,3.13,1.9,2.36,1.75,1.27,13.68,26696.43,1542.42,13010.39
"Belgrade, Serbia",5.39,24.62,5.09,1.7,1.95,1.34,0.92,0.79,0.42,1.37,5.03,0.43,4.24,0.61,1.1,2.8,0.76,4.51,27.17,1.35,17828.77,341.08,216.64,652.24,395.57,135.76,0.1,21.45,24.61,12.13,4.24,65.5,27.28,74.8,92.13,2502.53,1345.89,437.24,3.99,1.44,0.55,6.37,0.72,1.03,0.52,0.38,1.41,1.09,1.02,0.98,0.5,6.65,17474.32,245.94,4803.12
"Odessa, Ukraine",5.65,20.67,3.67,0.94,1.2,0.57,0.42,0.97,0.45,1.18,6.61,0.48,3.01,0.68,1.37,1.51,0.26,3.92,6.77,1.09,21584.23,344.01,232.04,599.79,405.27,94.58,0.03,5.73,20.84,9.45,4.52,74.37,50.34,97.01,107.27,1107.23,645.76,360.47,19,1.88,0.26,4.52,0.65,1.36,0.46,0.82,1.19,0.97,1.35,1.05,0.47,5.65,21373.22,210.98,2358.66
"Paris, France",15,50,8.7,7,6,3.14,2.19,1.24,1.52,3.4,18.14,0.9,8,1.78,2.27,8.8,1.9,12.98,75,1.56,21500,1177.51,837.76,2597.17,1736.93,170.29,0.19,27.15,39.98,20.05,11,86.04,36,92.46,135,11203.03,8334.37,2215.02,1.63,5,1.35,39.02,3.04,2.64,1.98,1.3,3.4,1.79,2.82,2.11,2.28,18.89,24250,877.75,12939.69
"Eindhoven, Netherlands",15,56.5,8,5,3,2.41,1.99,0.93,1.09,2.44,10.23,0.81,5.99,1.19,1.78,7,3.99,8.44,72,1.62,24830,965.16,838,1513.54,1245.65,168.08,0.11,36.18,24.24,19.11,12,81.36,29.35,78.11,110.76,3471.67,2559.09,2603.84,2.41,3.19,3,36,2.23,1.55,1.56,1.04,2.63,1.87,2.44,1.7,1.3,14.64,25728.62,1221.3,4787.5
"Plovdiv, Bulgaria",5.1,20.42,4.59,1.28,1.53,0.95,0.64,1.03,0.56,1.53,5.03,0.5,5.1,0.62,1.02,2.81,0.51,4.73,20.42,1.15,17863.74,240.77,179.23,412.1,290.7,79.71,0.14,11.57,24.85,11.18,5.61,42.91,24.77,69.62,66.04,950.91,693.33,514.73,4.11,0.5,0.43,6.12,0.89,1.16,0.55,0.42,1.27,1.08,1.32,1.3,0.64,6.03,17879.91,225.8,3725.87
"Thessaloniki, Greece",10,35,6.5,3.5,4.5,1.46,0.5,1.11,0.91,3.03,7.52,0.78,6.5,1.14,1.93,4.5,1,6.68,30,1.56,18500,336.96,269.45,543.56,440.83,160.39,0.44,30.22,31.3,9.98,8,74.39,27.6,71.64,87.5,1745.83,1279.03,660.51,4.56,3.5,1,11.81,1.15,1.13,0.71,0.81,3.21,1.52,1.16,1.47,0.77,8.26,18173.5,301.04,6775
"Ottawa, Canada",11,55,6.87,4.81,4.81,1.39,1.18,1.44,1.94,2.08,8.14,1.21,10.31,1.57,1.94,9.97,2.41,9.04,80.09,0.81,17186.61,961.81,745.27,1642.15,1256.39,102.76,0.18,43.85,40.21,16.84,9.62,45.53,34.91,72.18,99.17,3379.74,2010.41,2904.67,3.63,2.65,1.21,13.67,2.7,3.06,1.44,1.75,2.85,2.42,2.36,1.06,1.44,10.43,16072.54,782.15,9040.16
"Sofia, Bulgaria",6.14,25.57,4.6,1.53,1.97,0.84,0.59,1.04,0.56,1.73,5.99,0.54,4.6,0.7,1.29,2.86,0.82,5.01,25.57,1.16,19518.73,370.72,285.96,665.27,479.09,89.74,0.15,10.38,24.34,11.08,6.14,55.98,27.08,67.24,71.3,1560.46,1049.71,708.65,3.51,0.41,0.41,6.75,1.01,1.16,0.61,0.64,1.25,1.08,1.41,1.28,0.59,7.33,18183.2,325.23,4753.12
"Rotterdam, Netherlands",13,50,8,4,4,2.09,1.59,0.89,1.12,2.2,9.64,0.73,5,0.94,1.54,7,4,7.9,70.42,1.65,23600,1103.13,844.33,1845.83,1230.43,153.76,0.13,38.2,28.8,19.25,12,84.5,31.55,85.25,130.28,3648.71,2604.81,2312.39,2.21,3,2.17,25,2.09,1.47,1.28,1.03,2.73,1.7,2.47,1.73,1.21,12.69,23899,1116.67,10142.86
"Varna, Bulgaria",6.12,20.42,4.08,1.02,1.53,0.87,0.54,1.02,0.51,1.5,4.91,0.47,4.59,0.6,0.99,2.81,0.51,4.5,20.42,1.12,18374.14,235.36,170.63,440.04,305.21,75.54,0.13,11.2,22.19,10.43,6.12,38.91,25.6,58.15,63.31,1016.49,682.83,511.5,4.28,0.56,0.45,7.66,1.01,1.15,0.52,0.62,1.23,1.05,1.27,1.39,0.54,7.4,17065.34,263.81,3585.51
"Novi Sad, Serbia",4.84,17.85,4.42,1.5,1.8,1.15,0.78,0.76,0.43,1.24,4.62,0.43,4.04,0.56,0.99,2.72,0.55,4.3,20,1.34,20402.08,262.4,195.75,451.15,302.16,122.93,0.09,19.3,22.89,6.02,3.4,61.05,31.26,71.99,82.88,1569.73,1090.36,439.58,3.49,0.85,0.48,4.25,0.71,1.09,0.49,0.39,1.11,1.03,0.88,1.1,0.51,5.87,17816.21,167.1,2644.23
"Utrecht, Netherlands",15,65,8,5,4.5,2.53,1.99,0.92,1.15,2.45,10.49,0.8,6,1.1,1.75,7,2.6,8.39,90,1.66,23000,1135.77,791.9,1944.44,1272.5,193.84,0.15,35.06,28.05,20.62,11,100.8,37.56,91.65,123.76,4334.9,3548.5,2214.18,2.55,5,2.2,36,2.19,1.5,1.41,1.07,3.03,1.92,2.39,1.93,1.3,15.66,33271.6,1450,6125
"Berlin, Germany",8.5,40,7,3.5,3.1,2.02,1.73,0.8,1.34,1.9,8.12,0.52,5,0.86,1.32,6.4,2.8,6.95,81,1.44,19520,896.5,651.04,1681.19,1217.77,231.8,0.1,29.08,26.39,19.23,10,81.47,31.93,81.71,104.49,6051.94,3803.7,2289.46,1.85,3.9,2,30,2.15,2.23,1.49,1.13,2.74,1.76,2.22,1.47,1.39,11.24,19749,177.88,6829.05
"Beirut, Lebanon",8.98,53.91,7.19,3.22,4.17,0.74,0.39,1.89,0.86,2.59,9.51,0.7,8.98,1.21,1.91,2.19,1.19,7.33,53.91,0.8,19766.67,719.35,393.83,1647.29,751.31,122.43,0.29,49.74,65.66,24.45,8.98,58.37,42.06,99,102.15,3589.98,1538.73,859.89,7.35,5.39,1.8,11.95,1.71,1.23,0.81,0.85,3.82,1.46,1.09,1.2,0.87,11.51,18766.59,348.27,4684.61
"Austin, TX, United States",13.48,44.92,7.19,4.49,5.39,1.87,1.37,0.75,2.4,2.24,9.01,1.38,10.78,2.14,3,6.06,1.12,7.26,37.06,0.56,19627.4,1581.66,995.9,2750.15,1714.92,124.12,0.09,55.38,34.53,14.6,10.78,39.01,33.93,67.69,88.55,3919.75,1955.36,4097.92,4.09,2.25,1.51,26.06,4.02,3.58,2.25,1.45,3.95,2.6,3.19,1.04,1.82,10.6,18743.38,890.67,17537.93
"Singapore, Singapore",8.33,39.98,5.33,6.66,8,1.25,0.91,2.04,1.5,1.97,12.38,1.11,19.99,3.45,3.8,9.33,1.2,5.88,79.96,1.5,76598.98,1859.98,1174.57,3509.54,2007.43,97.79,0.14,28.85,88.55,8.95,8.66,61.63,33.52,81.17,93.88,17864.28,8977.26,2988.12,2.52,2.4,0.37,11.99,3,2.72,2.01,1.41,3.66,2.01,2.01,2.22,1.92,11.35,67345.1,773.41,18581.67
"Toronto, Canada",13.75,55,7.56,5.16,5.5,1.64,1.24,1.94,1.99,2.27,13.71,1.39,11,2.17,2.22,10.31,2.23,9.73,103.91,0.83,18011.56,1474.75,1180.29,2401.86,1792.3,95.48,0.26,44.42,37.38,22.27,10.31,47.84,31.55,73.58,91.59,7385.25,5730.86,2352.69,3.33,2.75,1.26,21.33,2.84,3.04,2.05,1.93,3.1,2.46,2.88,1.22,2.13,14.8,17570.16,1022.99,17653.1
"Auckland, New Zealand",11.95,50.78,6.57,5.68,5.38,2,1.89,1.59,1.42,2.82,5.8,1.31,8.96,3.24,2.76,17.92,2.24,7.54,128.44,1.33,20909.09,1127.81,947.13,2002.12,1640.38,99.55,0.31,49.79,37.68,10.73,10.75,63.43,33.45,83.44,101.35,6247.73,5090.16,2344.96,4.22,2.27,1.49,31.36,2.23,2.4,2.18,1.71,2.83,1.68,2.93,1.7,1.66,10.36,17575.02,704.18,12204.08
"Podgorica, Montenegro",5,25,3,1.5,1.9,1.68,1.04,0.79,0.53,1.42,4.89,0.7,4,0.96,1.46,3.2,0.9,5.17,25,1.34,16990,307.27,222.86,553.57,389.5,103.09,0.13,23.52,30,10,5,56.9,31.14,72.86,83.54,1337.62,1036.79,484.81,6.55,1,0.5,6,0.7,1.1,0.54,0.9,1.45,1.12,1.18,1.13,0.72,7.58,17648.57,133.33,8400
"Vancouver, Canada",11.69,55,6.87,4.81,4.81,1.4,1.26,1.63,2.36,2.71,11.49,1.71,13.75,2.06,2.63,10.31,2.06,10.61,67.37,1.07,17186.61,1424.9,1133.13,2586.43,1863.02,62.72,0.25,48.94,35.6,10.7,10.31,47.41,35.88,72.71,97.36,8649.48,6413.13,2625.31,3.78,2.41,1.3,23.28,2.7,2.76,2.22,1.86,3.05,2.87,3.31,1.28,2.29,12.43,16057.11,849.75,14093.02
"Tokyo, Japan",8.19,40.97,5.7,4.1,4.92,1.2,0.87,1.55,1.54,1.95,9.64,1.07,9.01,2.22,3.45,4.1,1.56,6.56,81.95,1.14,20769.54,1013.36,636.07,2270.89,1221.64,162.41,0.37,38.33,77.29,26.39,14.75,58.4,37.28,71.31,120.05,9581.79,5268.04,2657.42,1.46,3.91,3.44,28.64,6.58,5.02,3.2,1.62,3.21,5.04,5.19,2.81,2.87,19.66,18110.35,604.02,17051.34
"Victoria, Canada",12.05,49.93,6.89,4.82,4.82,1.55,1.41,1.53,2.16,2.51,8.83,1.62,13.77,2.02,2.08,9.64,1.72,10.94,58.54,0.98,17217.21,1047.12,872.6,1847.98,1513.3,78.71,0.21,54.21,36.17,7.52,10.33,44.76,29.97,74.95,106.6,4399.4,2753.97,2338.36,3.7,2.34,1.35,28.69,3.06,2.66,2.37,1.76,3.12,4.41,3.52,1.05,2.15,11.18,15784.74,710.97,10171.93
"Winnipeg, Canada",10.31,41.25,6.8,4.12,4.81,1.49,1.26,1.21,1.71,2.17,6.95,1.53,10.31,1.59,1.92,11,2.03,9.04,68.75,0.77,17186.61,679.1,640.46,1000.58,944.4,87.74,0.19,48.43,34.77,14.29,8.94,41.31,28.48,64.95,75.29,2217.04,1765.32,2068.87,3.45,2.58,1.18,21.45,2.61,1.74,1.57,1.73,3.09,2.62,2.27,1.17,1.24,9.21,16214.83,375.57,7763.44
"Boston, MA, United States",13.47,62.85,7.18,6.29,6.73,1.75,1.53,0.78,2.62,2.34,12.75,1.58,13.02,2.01,2.32,9.88,2.22,11,80.81,0.66,19789.8,2275.95,1716.68,3574.7,2503.07,119.59,0.08,61.7,51.97,15.39,13.47,43.34,27.76,71.03,91.75,8867.39,4036.93,4132.08,4.22,2.69,1.67,25.14,3.96,4.17,1.79,1.68,3.6,3.68,5.14,1.39,3.4,14.07,18411.02,1534.76,24642.48
"Chicago, IL, United States",13.47,53.87,7.18,4.94,6.29,1.75,1.52,0.7,2.54,2.05,9.95,2.08,12.57,1.82,1.88,11.67,2.24,9.53,94.28,0.74,19614.71,1702.25,1100.17,3168.97,1953.12,117.08,0.16,57.23,42.52,23.05,11.67,45.28,35.06,73,96.56,3656.41,1816.95,3717.02,4.23,2.92,1.26,21.55,4.47,3.69,2.22,1.42,3.69,3.92,3.52,1.47,2.39,12.4,18842.65,1025.73,15972.64
"Almaty, Kazakhstan",4.77,23.84,3.81,1.07,1.43,0.4,0.31,0.75,0.24,0.9,5.87,0.42,4.77,0.56,1.1,0.95,0.19,3.12,17.16,0.39,15494.56,288.22,178.04,565.15,357.57,58.48,0.03,10.47,39.41,9.43,3.58,44.78,38.14,74.49,86.52,1119.15,691.71,374.42,15.4,0.95,0.35,2.62,1.04,1.4,0.37,1.25,1.78,0.8,1.09,1.23,0.28,5.49,17285.46,153.08,4428.44
"Oslo, Norway",18.7,80.88,11.12,9,9.1,2.92,2.51,1.8,2.92,3.79,10.64,1.7,15.17,3.04,3.6,11.98,3.64,12.69,75.83,1.65,34626.88,1280.03,990.78,2080.65,1595.19,158.58,0.08,45.73,42.44,29.12,14.15,92.08,37.59,97.4,132.04,8323.16,5593.16,2985.88,2.81,10.11,1.42,43.49,2.56,2.34,1.84,2.02,4.28,2.43,3.05,2.21,1.61,25.58,31245.91,319.19,10981.56
"Frankfurt, Germany",10,50,8,4,3.5,2.39,2.1,0.72,1.27,1.94,7.77,0.5,5,0.88,1.2,6.4,2.75,8.11,90.4,1.43,25000,986.97,723.8,1878.93,1307.69,265.52,0.1,30.74,45.06,20.92,12,73.23,34.45,88.13,100.52,6486.36,4142.86,2618.29,1.91,3.5,2,33,2.24,1.77,1.31,0.89,2.74,1.9,2.35,1.52,1.34,9.58,21048.75,374.56,12630
"Bratislava, Slovakia",6,30,6,2,2,1.62,1.25,0.76,0.96,1.92,7.54,0.59,5,0.72,1.27,3.85,0.9,5.33,27,1.33,16000,635.45,486.91,1055.77,794,180.44,0.09,15.69,26.77,12.32,7.99,61.69,26.4,64.3,76.5,3178.46,2339.13,1059.38,1.58,3,0.82,15,1.57,1.47,0.86,0.95,2.09,1.13,2.32,1.56,0.88,8.59,15734.55,400.4,8060
"Dallas, TX, United States",13.48,44.92,6.51,4.49,5.39,1.69,1.42,0.64,2.2,1.85,6.88,1.41,10.78,2.18,2.58,6.29,2.7,9.1,86.25,0.56,17071.22,1322.45,961.01,2476.25,1607.56,139.51,0.13,59.67,32.58,2.99,10.78,36.03,39.5,70.62,89.32,2375.25,1391.52,4202,4.19,2.94,1.06,18.42,3.7,3.04,1.81,1.28,3.46,3.54,2.87,1.07,1.99,9.9,17561.12,800.09,16891.52
"Zagreb, Croatia",6.72,33.58,5.37,2.01,2.42,1.91,1.32,0.87,0.86,2.04,7.62,0.92,5.37,1.02,1.6,4.03,0.54,6.79,48.36,1.35,19477.3,473.12,341.08,777.81,542.49,174.07,0.11,22.12,34.96,9.19,5.37,73.88,30.63,78.16,92.24,2701.8,1892.37,903.99,3.9,1.34,0.67,5.37,1.06,1.34,0.79,0.77,1.51,1.69,1.54,1.43,0.8,8.77,19816.57,144.52,3840.88
